No,店舗,部門名,商品コード,商品名,数量,売単価,原単価,売上金額,粗利金額,構成比,累積比,粗利率
"8","636　砺波店","湧永製品","4968250260123","レオピンロイヤル　１２０ｍｌ","4","17600","8770.00","64000","30945","2.02%","33.31%","48.35%"
"9","636　砺波店","ＯＴＣ医薬品類","4987103049371","コンドロイチンＺＳ　４５０錠","6","13200","6000.00","66600","30600","2.11%","35.42%","45.95%"
"10","636　砺波店","湧永製品","4968250260116","レオピンロイヤル　６０ｍｌ","10","9680","4823.00","88000","30207","2.78%","38.20%","34.33%"
"1","639　大島店","湧永製品","4968250177216","トコベール３００Ｅ　２６０ｃｐ","6","13670","2897.00","74568","52732","2.68%","2.68%","70.72%"
"2","639　大島店","湧永製品","4968250858115","プレビジョン　ビルベリー＆ＤＨＡ　１２０粒","17","6264","1692.00","94661","45677","3.40%","6.08%","48.25%"
"3","639　大島店","ＯＴＣ医薬品類","4987433120054","プラセントップ液 ３０ｍｌ","76","1018","310.00","60431","36525","2.17%","8.25%","60.44%"
"4","639　大島店","湧永製品","4968250867117","プレビジョン　カルマジン　８００粒","13","4104","1108.00","49400","31783","1.77%","10.02%","64.34%"
"5","639　大島店","化粧品","4515748001791","プレミアム １０エミュークリーム１５０ｇ","9","7700","3230.00","59553","30483","2.14%","12.16%","51.19%"
"6","639　大島店","湧永製品","4968250260116","レオピンロイヤル　６０ｍｌ","8","9680","4823.00","70400","30155","2.53%","14.69%","42.83%"
"7","639　大島店","湧永製品","4968250854124","プレビジョングリーン末　９０包","9","5184","1401.00","39941","27332","1.43%","16.12%","68.43%"
"8","639　大島店","ＯＴＣ医薬品類","4987103049371","コンドロイチンＺＳ　４５０錠","6","13200","6000.00","72000","26901","2.58%","18.70%","37.36%"
"9","639　大島店","湧永製品","4968250199317","エナックＷ　５４０錠","5","10679","3091.00","42236","26781","1.52%","20.22%","63.41%"
"10","639　大島店","湧永製品","4968250271211","レオピンファイブＮＥＯ　１２０ｍｌ","4","12100","5300.00","44000","22300","1.58%","21.80%","50.68%"
"1","063　ミラドラ","湧永製品","4968250276315","レオピンファイブ　　60ｍｌ×4本","14","21340","9348.00","236720","105375","8.64%","8.64%","44.51%"
"2","063　ミラドラ","食品","4993387051047","THB　まる粒","10","25920","8400.00","120000","36000","4.38%","13.02%","30.00%"
"3","063　ミラドラ","ＯＴＣ医薬品類","4987306057791","リアップＸ５プラスネオ","32","6908","4793.00","185510","32134","6.77%","19.79%","17.32%"
"4","063　ミラドラ","ＯＴＣ医薬品類","4987045101014","Ｋ-１","9","13200","4800.00","72000","28578","2.63%","22.42%","39.69%"
"5","063　ミラドラ","湧永製品","4968250275318","キヨーレオピン60ｍｌ×4本","6","10670","4673.00","45600","17562","1.67%","24.09%","38.51%"
"6","063　ミラドラ","湧永製品","4968250370815","紅芝泉原末　１０包×３箱","3","32400","13500.00","57141","16641","2.09%","26.18%","29.12%"
"7","063　ミラドラ","食品","2202201000003","青汁（ＰＢ）","46","1007","600.00","42543","14927","1.55%","27.73%","35.09%"
"8","063　ミラドラ","湧永製品","4968250260130","レオピンロイヤル　　60ｍｌ×4本","2","30800","14166.00","42000","13368","1.53%","29.26%","31.83%"
"9","063　ミラドラ","湧永製品","4968250271310","レオピンファイブＮＥＯ　60ｍｌ×4本","2","21340","9348.00","31040","12344","1.13%","30.39%","39.77%"
"10","063　ミラドラ","湧永製品","4968250271211","レオピンファイブＮＥＯ　１２０ｍｌ","2","12100","5300.00","22000","11400","0.80%","31.19%","51.82%"
"1","566　五位田店","湧永製品","4968250260130","レオピンロイヤル　２４０ｍｌ","8","30800","14166.00","216000","85872","8.61%","8.61%","39.76%"
"2","566　五位田店","ＯＴＣ医薬品類","4987128209910","アスパラドリンクα　１００ｍＬ　５０本","101","3666","2600.00","335900","73300","13.40%","22.01%","21.82%"
"3","566　五位田店","湧永製品","4968250275318","キヨーレオピン　２４０ｍｌ","16","11737","5063.00","152615","54197","6.09%","28.10%","35.51%"
"4","566　五位田店","湧永製品","4968250271310","レオピンファイブＮＥＯ　２４０ｍｌ","8","21340","9348.00","147800","45856","5.89%","33.99%","31.03%"
"5","566　五位田店","ＯＴＣ医薬品類","4987103049371","コンドロイチンＺＳ　４５０錠","31","13200","5500.00","210000","35900","8.38%","42.37%","17.10%"
"6","566　五位田店","湧永製品","4968250271211","レオピンファイブＮＥＯ　１２０ｍｌ","7","12100","5300.00","72500","33200","2.89%","45.26%","45.79%"
"7","566　五位田店","湧永製品","4968250281326","キヨーレオピンキャプレットＳ２００錠","10","6380","2326.00","54600","27860","2.18%","47.44%","51.03%"
"8","566　五位田店","食品","4968250300119","宝脚　３００錠","5","8424","2530.00","39000","25550","1.56%","49.00%","65.51%"
"9","566　五位田店","食品","4968250294111","プレビジョン　ラクッションプラス　２７０粒","8","6264","1709.00","42760","25028","1.71%","50.71%","58.53%"
"10","566　五位田店","湧永製品","4968250280329","レオピンファイブキャプレットＳ　２００錠","5","14300","5213.00","58890","22429","2.35%","53.06%","38.09%"
"1","559　菅谷店","その他","4722091100006","白髪染め","21","1567","1.00","29925","29904","4.97%","4.97%","99.93%"
"2","559　菅谷店","湧永製品","4968250260130","レオピンロイヤル　２４０ｍｌ","2","30800","15347.00","56000","25306","9.30%","14.27%","45.19%"
"3","559　菅谷店","ＯＴＣ医薬品類","4987211162139","ﾏﾙｲｼ無水ｴﾀﾉｰﾙ16L","2","47300","33163.00","86000","19674","14.29%","28.56%","22.88%"
"4","559　菅谷店","湧永製品","4968250840219","人参牛黄カプセル　２４ｃｐ","3","15510","5406.00","33840","17622","5.62%","34.18%","52.07%"
"5","559　菅谷店","食品","4968250294111","ﾗｸｯｼｮﾝﾌﾟﾗｽ270","3","6264","1830.00","15080","9590","2.51%","36.69%","63.59%"
"6","559　菅谷店","ＯＴＣ医薬品類","4958707000815","源内服液　30mL×10本","2","12100","5500.00","17600","6600","2.92%","39.61%","37.50%"
"7","559　菅谷店","ＯＴＣ医薬品類","4987306057791","リアップＸ５プラスネオ","3","8140","5033.00","21300","6201","3.54%","43.15%","29.11%"
"8","559　菅谷店","ＯＴＣ医薬品類","4958707000013","エバシェリーン　７５ｇ","3","6600","3000.00","15000","6000","2.49%","45.64%","40.00%"
"9","559　菅谷店","ＯＴＣ医薬品類","4987249107867","イスクラ冠元顆粒　９０包","2","13882","7572.00","20192","5048","3.35%","48.99%","25.00%"
"10","559　菅谷店","ＯＴＣ医薬品類","4987103049371","コンドロイチンＺＳ　４５０錠","1","13200","6000.00","9600","3600","1.59%","50.58%","37.50%"
"1","236ミラドラ山口あさか店","","4987301847335","小太郎生薬便秘薬 240錠","1","1980","1013.00","1800","787","12.05%","12.05%","43.72%"
"2","236ミラドラ山口あさか店","","4987188161074","眼涼　１０ｍｌ","1","1026","392.00","933","541","6.25%","18.30%","57.98%"
"3","236ミラドラ山口あさか店","","4987167031237","ケアリーブ素肌タイプ　Ｍ５０枚","2","695","422.00","1264","420","8.46%","26.76%","33.23%"
"4","236ミラドラ山口あさか店","","4987241200979","ドゥーテストｈＣＧ  2回用","1","990","600.00","900","300","6.02%","32.78%","33.33%"
"5","236ミラドラ山口あさか店","","4987415973654","ドゥーエ　乳液","1","2420","1430.00","2200","82","14.73%","47.51%","3.73%"
"6","236ミラドラ山口あさか店","","4901301348036","めぐりズム　蒸気でホットアイマスク　完熟ゆず","1","1155","700.00","1050","21","7.03%","54.54%","2.00%"
"7","236ミラドラ山口あさか店","","4987299225528","デイトナS　12カプセル","2","770","350.00","1400","2","9.37%","63.91%","0.14%"
"8","236ミラドラ山口あさか店","","4987305115348","セミドン顆粒　12包","1","1430","624.00","1300","1","8.70%","72.61%","0.08%"
"9","236ミラドラ山口あさか店","","4946842638536","ネナイト　30日分","1","1935","1197.00","1792","0","12.00%","84.61%","0.00%"
"10","236ミラドラ山口あさか店","","4902782011587","丸善プロテクトささみPコンソメ１３０ｇ","5","216","158.00","1000","-103","6.69%","91.30%","-10.30%"